DATE,TIME,EQUIP_NAME,MODEL,ROLL,FIRST_LAYER,SAME_LAYER,LAYER_NO,LAYER_NAME,FP1_DX,FP1_DY,FP1_ENABLE,FP2_DX,FP2_DY,FP2_ENABLE,FP3_DX,FP3_DY,FP3_ENABLE,FP4_DX,FP4_DY,FP4_ENABLE,FP5_DX,FP5_DY,FP5_ENABLE,FP6_DX,FP6_DY,FP6_ENABLE,AB_STACK_X,AB_STACK_Y,TOTAL_LAYER,W_MARGIN,L_MARGIN,BAR_NO,MARGIN,GRADE,TILT,L_MARGIN1,W_MARGIN1,L_MARGIN2,W_MARGIN2,L_MARGIN3,W_MARGIN3,L_MARGIN4,W_MARGIN4,L_MARGIN5,W_MARGIN5,L_MARGIN6,W_MARGIN6
2026-03-13,00:31:02,5C68,CL05B103KB54PCM,ALC1830BAP,TRUE,TRUE,1,,-584,353,1,-258,150,1,-275,289,1,-313,410,1,-699,450,1,-366,331,1,1080,0,16,230,260,0,77.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:03,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,2,,-544,328,1,-467,118,1,-307,274,1,-473,61,1,-555,134,1,-224,454,1,1080,0,16,230,260,0,77.6,1,0.17,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:04,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,3,,-668,79,1,-373,490,1,-346,108,1,-723,316,1,-373,190,1,-687,146,1,1080,0,16,230,260,0,77.6,1,4.33,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:05,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,4,,-209,476,1,-296,408,1,-649,418,1,-218,134,1,-613,400,1,-521,367,1,1080,0,16,230,260,0,77.6,1,0.69,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:06,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,5,,-544,123,1,-686,316,1,-522,362,1,-639,141,1,-425,480,1,-649,174,1,1080,0,16,230,260,0,77.6,1,4.69,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:07,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,6,,-400,355,1,-698,77,1,-651,384,1,-366,282,1,-422,219,1,-642,289,1,1080,0,16,230,260,0,77.6,1,3.82,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:08,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,7,,-373,143,1,-360,450,1,-249,346,1,-655,365,1,-786,281,1,-618,83,1,1080,0,16,230,260,0,77.6,1,3.75,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:09,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,8,,-363,292,1,-396,130,1,-685,374,1,-726,236,1,-500,284,1,-777,265,1,1080,0,16,230,260,0,77.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:10,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,9,,-466,218,1,-306,259,1,-281,485,1,-530,460,1,-252,365,1,-642,230,1,1080,0,16,230,260,0,77.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:11,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,10,,-638,283,1,-499,365,1,-549,270,1,-780,446,1,-344,69,1,-371,331,1,1080,0,16,230,260,0,77.6,1,3.05,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:12,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,11,,-767,290,1,-272,399,1,-638,198,1,-259,69,1,-573,433,1,-471,93,1,1080,0,16,230,260,0,77.6,1,0.61,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:13,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,12,,-237,87,1,-621,342,1,-203,285,1,-336,100,1,-613,281,1,-409,442,1,1080,0,16,230,260,0,77.6,1,3.18,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:14,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,13,,-314,368,1,-370,224,1,-640,157,1,-562,112,1,-287,112,1,-778,499,1,1080,0,16,230,260,0,77.6,1,1.72,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:15,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,14,,-547,219,1,-511,211,1,-561,489,1,-520,251,1,-718,122,1,-646,186,1,1080,0,16,230,260,0,77.6,1,3.04,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:16,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,15,,-557,188,1,-441,75,1,-231,291,1,-620,138,1,-515,297,1,-685,83,1,1080,0,16,230,260,0,77.6,1,1.47,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:17,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,16,,-750,360,1,-266,190,1,-542,468,1,-379,240,1,-740,214,1,-657,173,1,1080,0,16,230,260,0,77.6,1,1.29,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:18,5C68,CL05B103KB54PCM,ALC1830BAP,TRUE,TRUE,1,,-474,240,1,-415,165,1,-555,396,1,-728,127,1,-477,264,1,-712,127,1,1080,0,29,230,260,1,73.6,2,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:19,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,2,,-550,122,1,-345,206,1,-674,347,1,-219,190,1,-517,382,1,-525,247,1,1080,0,29,230,260,1,73.6,2,2.81,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:20,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,3,,-558,413,1,-352,252,1,-635,76,1,-524,164,1,-453,200,1,-313,321,1,1080,0,29,230,260,1,73.6,2,4.18,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:21,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,4,,-473,414,1,-331,452,1,-331,124,1,-398,299,1,-417,399,1,-282,64,1,1080,0,29,230,260,1,73.6,2,1.31,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:22,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,5,,-735,387,1,-313,136,1,-304,105,1,-643,303,1,-716,126,1,-521,417,1,1080,0,29,230,260,1,73.6,2,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:23,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,6,,-245,100,1,-579,64,1,-247,357,1,-435,446,1,-279,337,1,-550,411,1,1080,0,29,230,260,1,73.6,2,1.75,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:24,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,7,,-435,371,1,-570,364,1,-366,429,1,-504,499,1,-427,466,1,-257,143,1,1080,0,29,230,260,1,73.6,2,4.93,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:25,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,8,,-531,490,1,-494,321,1,-548,230,1,-550,347,1,-778,287,1,-349,216,1,1080,0,29,230,260,1,73.6,2,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:26,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,9,,-685,225,1,-387,229,1,-694,402,1,-325,402,1,-232,463,1,-330,313,1,1080,0,29,230,260,1,73.6,2,4.09,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:27,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,10,,-263,276,1,-248,198,1,-540,161,1,-733,200,1,-688,184,1,-435,157,1,1080,0,29,230,260,1,73.6,2,1.61,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:28,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,11,,-355,126,1,-290,451,1,-606,129,1,-684,80,1,-327,189,1,-739,216,1,1080,0,29,230,260,1,73.6,2,3.34,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:29,5C68,CL05B103KB54PCM,ALC1830BAP,FALSE,TRUE,12,,-600,142,1,-334,281,1,-288,463,1,-435,193,1,-758,117,1,-354,215,1,1080,0,29,230,260,1,73.6,2,1.99,90,90,90,90,90,90,90,90,90,90,90,90
