DATE,TIME,EQUIP_NAME,MODEL,ROLL,FIRST_LAYER,SAME_LAYER,LAYER_NO,LAYER_NAME,FP1_DX,FP1_DY,FP1_ENABLE,FP2_DX,FP2_DY,FP2_ENABLE,FP3_DX,FP3_DY,FP3_ENABLE,FP4_DX,FP4_DY,FP4_ENABLE,FP5_DX,FP5_DY,FP5_ENABLE,FP6_DX,FP6_DY,FP6_ENABLE,AB_STACK_X,AB_STACK_Y,TOTAL_LAYER,W_MARGIN,L_MARGIN,BAR_NO,MARGIN,GRADE,TILT,L_MARGIN1,W_MARGIN1,L_MARGIN2,W_MARGIN2,L_MARGIN3,W_MARGIN3,L_MARGIN4,W_MARGIN4,L_MARGIN5,W_MARGIN5,L_MARGIN6,W_MARGIN6
2026-03-14,00:31:02,5C68,CL10A106MQ8NNNC,ALC7586BAP,TRUE,TRUE,1,,-744,61,1,-258,405,1,-426,439,1,-310,221,1,-584,370,1,-299,138,1,1080,0,20,230,260,0,89.4,3,0.76,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:03,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,2,,-564,243,1,-616,483,1,-523,226,1,-717,94,1,-580,104,1,-672,315,1,1080,0,20,230,260,0,89.4,3,3.53,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:04,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,3,,-340,345,1,-250,67,1,-492,211,1,-370,404,1,-488,96,1,-310,237,1,1080,0,20,230,260,0,89.4,3,0.24,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:05,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,4,,-799,399,1,-413,284,1,-428,394,1,-217,167,1,-712,226,1,-368,150,1,1080,0,20,230,260,0,89.4,3,3.64,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:06,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,5,,-641,323,1,-506,69,1,-463,497,1,-741,330,1,-686,342,1,-267,139,1,1080,0,20,230,260,0,89.4,3,4.82,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:07,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,6,,-462,102,1,-679,469,1,-743,219,1,-419,378,1,-774,464,1,-462,132,1,1080,0,20,230,260,0,89.4,3,2.14,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:08,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,7,,-474,219,1,-767,130,1,-389,67,1,-419,68,1,-377,165,1,-275,120,1,1080,0,20,230,260,0,89.4,3,2.36,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:09,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,8,,-401,360,1,-341,458,1,-392,361,1,-605,488,1,-671,142,1,-715,305,1,1080,0,20,230,260,0,89.4,3,4.54,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:10,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,9,,-393,386,1,-789,433,1,-571,468,1,-759,496,1,-619,265,1,-373,495,1,1080,0,20,230,260,0,89.4,3,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:11,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,10,,-576,214,1,-795,91,1,-642,153,1,-530,151,1,-339,494,1,-567,351,1,1080,0,20,230,260,0,89.4,3,3.57,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:12,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,11,,-625,474,1,-238,249,1,-358,390,1,-726,236,1,-734,160,1,-293,405,1,1080,0,20,230,260,0,89.4,3,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:13,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,12,,-474,191,1,-600,260,1,-220,203,1,-232,338,1,-781,324,1,-553,215,1,1080,0,20,230,260,0,89.4,3,3.09,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:14,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,13,,-320,221,1,-723,301,1,-503,383,1,-343,449,1,-364,94,1,-221,153,1,1080,0,20,230,260,0,89.4,3,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:15,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,14,,-694,213,1,-729,481,1,-726,251,1,-721,370,1,-464,419,1,-451,378,1,1080,0,20,230,260,0,89.4,3,4.28,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:16,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,15,,-233,331,1,-784,206,1,-618,268,1,-441,465,1,-227,248,1,-338,428,1,1080,0,20,230,260,0,89.4,3,0.88,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:17,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,16,,-781,245,1,-365,120,1,-542,425,1,-218,178,1,-265,150,1,-220,169,1,1080,0,20,230,260,0,89.4,3,1.71,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:18,5C68,CL10A106MQ8NNNC,ALC7586BAP,FALSE,TRUE,17,,-492,100,1,-745,146,1,-213,483,1,-781,261,1,-789,391,1,-616,121,1,1080,0,20,230,260,0,89.4,3,-,90,90,90,90,90,90,90,90,90,90,90,90
