DATE,TIME,EQUIP_NAME,MODEL,ROLL,FIRST_LAYER,SAME_LAYER,LAYER_NO,LAYER_NAME,FP1_DX,FP1_DY,FP1_ENABLE,FP2_DX,FP2_DY,FP2_ENABLE,FP3_DX,FP3_DY,FP3_ENABLE,FP4_DX,FP4_DY,FP4_ENABLE,FP5_DX,FP5_DY,FP5_ENABLE,FP6_DX,FP6_DY,FP6_ENABLE,AB_STACK_X,AB_STACK_Y,TOTAL_LAYER,W_MARGIN,L_MARGIN,BAR_NO,MARGIN,GRADE,TILT,L_MARGIN1,W_MARGIN1,L_MARGIN2,W_MARGIN2,L_MARGIN3,W_MARGIN3,L_MARGIN4,W_MARGIN4,L_MARGIN5,W_MARGIN5,L_MARGIN6,W_MARGIN6
2026-03-13,00:31:02,5C69,CL21A476MQYNNNE,ALC7298BAP,TRUE,TRUE,1,,-568,204,1,-490,102,1,-312,132,1,-525,80,1,-571,395,1,-542,497,1,1080,0,20,230,260,0,83.5,1,4.99,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:03,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,2,,-426,274,1,-736,222,1,-611,443,1,-248,385,1,-414,250,1,-483,129,1,1080,0,20,230,260,0,83.5,1,2.09,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:04,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,3,,-287,423,1,-507,215,1,-217,164,1,-359,146,1,-728,317,1,-438,233,1,1080,0,20,230,260,0,83.5,1,2.54,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:05,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,4,,-346,125,1,-398,180,1,-623,227,1,-433,282,1,-371,319,1,-721,296,1,1080,0,20,230,260,0,83.5,1,0.42,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:06,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,5,,-317,159,1,-570,371,1,-360,56,1,-270,385,1,-536,432,1,-514,454,1,1080,0,20,230,260,0,83.5,1,1.88,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:07,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,6,,-314,255,1,-766,164,1,-412,76,1,-299,323,1,-292,306,1,-450,131,1,1080,0,20,230,260,0,83.5,1,3.11,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:08,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,7,,-739,162,1,-503,472,1,-707,486,1,-552,91,1,-345,156,1,-382,71,1,1080,0,20,230,260,0,83.5,1,1.73,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:09,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,8,,-429,466,1,-792,407,1,-774,232,1,-519,163,1,-752,312,1,-466,227,1,1080,0,20,230,260,0,83.5,1,0.36,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:10,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,9,,-461,217,1,-232,172,1,-686,287,1,-657,252,1,-445,494,1,-471,81,1,1080,0,20,230,260,0,83.5,1,2.72,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:11,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,10,,-584,474,1,-283,126,1,-619,125,1,-462,221,1,-536,350,1,-259,123,1,1080,0,20,230,260,0,83.5,1,3.34,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:12,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,11,,-312,294,1,-328,278,1,-791,462,1,-377,301,1,-738,276,1,-759,159,1,1080,0,20,230,260,0,83.5,1,1.42,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:13,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,12,,-589,213,1,-531,491,1,-590,456,1,-276,223,1,-209,428,1,-231,411,1,1080,0,20,230,260,0,83.5,1,4.67,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:14,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,13,,-639,191,1,-697,414,1,-364,429,1,-749,253,1,-635,57,1,-292,333,1,1080,0,20,230,260,0,83.5,1,3.12,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:15,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,14,,-728,468,1,-392,54,1,-282,68,1,-282,469,1,-375,379,1,-522,59,1,1080,0,20,230,260,0,83.5,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:16,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,15,,-330,480,1,-799,307,1,-386,245,1,-635,440,1,-782,53,1,-264,250,1,1080,0,20,230,260,0,83.5,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:17,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,16,,-651,419,1,-555,332,1,-385,484,1,-715,113,1,-498,412,1,-646,191,1,1080,0,20,230,260,0,83.5,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:18,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,17,,-394,195,1,-265,360,1,-227,424,1,-653,330,1,-629,372,1,-622,135,1,1080,0,20,230,260,0,83.5,1,1.71,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:19,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,18,,-247,64,1,-436,112,1,-766,86,1,-599,403,1,-613,70,1,-345,426,1,1080,0,20,230,260,0,83.5,1,3.88,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:20,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,19,,-256,425,1,-564,415,1,-511,301,1,-415,385,1,-387,146,1,-306,169,1,1080,0,20,230,260,0,83.5,1,0.51,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:21,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,20,,-478,345,1,-773,225,1,-597,419,1,-441,138,1,-509,429,1,-477,165,1,1080,0,20,230,260,0,83.5,1,0.7,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:22,5C69,CL21A476MQYNNNE,ALC7298BAP,TRUE,TRUE,1,,-642,458,1,-683,270,1,-670,211,1,-415,438,1,-521,237,1,-712,360,1,1080,0,27,230,260,1,73.7,2,2.2,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-13,00:31:23,5C69,CL21A476MQYNNNE,ALC7298BAP,FALSE,TRUE,2,,-484,417,1,-496,69,1,-493,257,1,-344,325,1,-332,288,1,-295,367,1,1080,0,27,230,260,1,73.7,2,4.28,90,90,90,90,90,90,90,90,90,90,90,90
