DATE,TIME,EQUIP_NAME,MODEL,ROLL,FIRST_LAYER,SAME_LAYER,LAYER_NO,LAYER_NAME,FP1_DX,FP1_DY,FP1_ENABLE,FP2_DX,FP2_DY,FP2_ENABLE,FP3_DX,FP3_DY,FP3_ENABLE,FP4_DX,FP4_DY,FP4_ENABLE,FP5_DX,FP5_DY,FP5_ENABLE,FP6_DX,FP6_DY,FP6_ENABLE,AB_STACK_X,AB_STACK_Y,TOTAL_LAYER,W_MARGIN,L_MARGIN,BAR_NO,MARGIN,GRADE,TILT,L_MARGIN1,W_MARGIN1,L_MARGIN2,W_MARGIN2,L_MARGIN3,W_MARGIN3,L_MARGIN4,W_MARGIN4,L_MARGIN5,W_MARGIN5,L_MARGIN6,W_MARGIN6
2026-03-14,00:31:02,5C69,CL05B103KB54PCM,ALC4414BAP,TRUE,TRUE,1,,-308,110,1,-477,297,1,-490,390,1,-306,346,1,-323,58,1,-761,292,1,1080,0,26,230,260,0,81.6,1,4.8,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:03,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,2,,-581,466,1,-777,337,1,-457,357,1,-247,58,1,-588,151,1,-663,309,1,1080,0,26,230,260,0,81.6,1,3.36,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:04,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,3,,-256,193,1,-545,319,1,-730,420,1,-378,264,1,-358,273,1,-800,133,1,1080,0,26,230,260,0,81.6,1,0.74,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:05,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,4,,-770,251,1,-442,451,1,-347,340,1,-439,96,1,-354,173,1,-661,404,1,1080,0,26,230,260,0,81.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:06,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,5,,-797,447,1,-673,180,1,-513,150,1,-683,390,1,-462,279,1,-568,60,1,1080,0,26,230,260,0,81.6,1,4.89,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:07,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,6,,-721,365,1,-487,440,1,-540,92,1,-611,370,1,-393,331,1,-440,304,1,1080,0,26,230,260,0,81.6,1,4.36,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:08,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,7,,-282,129,1,-691,346,1,-289,193,1,-314,193,1,-549,119,1,-701,374,1,1080,0,26,230,260,0,81.6,1,3.47,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:09,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,8,,-411,304,1,-563,308,1,-220,220,1,-276,187,1,-623,151,1,-767,402,1,1080,0,26,230,260,0,81.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:10,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,9,,-396,483,1,-465,475,1,-486,292,1,-455,182,1,-762,440,1,-237,357,1,1080,0,26,230,260,0,81.6,1,0.58,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:11,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,10,,-218,148,1,-465,375,1,-418,289,1,-527,94,1,-468,328,1,-453,417,1,1080,0,26,230,260,0,81.6,1,1.4,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:12,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,11,,-737,64,1,-345,81,1,-672,312,1,-786,234,1,-586,114,1,-252,132,1,1080,0,26,230,260,0,81.6,1,-,90,90,90,90,90,90,90,90,90,90,90,90
2026-03-14,00:31:13,5C69,CL05B103KB54PCM,ALC4414BAP,FALSE,TRUE,12,,-337,100,1,-725,108,1,-436,376,1,-207,51,1,-596,171,1,-531,422,1,1080,0,26,230,260,0,81.6,1,3.02,90,90,90,90,90,90,90,90,90,90,90,90
